thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
0,0,0.301896,1,0.512102,0.0840704,0.00248933,0,1.07219
10,0,0.449176,1,0.777919,0.108402,0.0772989,0,1.34434
10,10,0.448992,1,0.76828,0.108256,0.0717533,0,1.3363
10,20,0.442921,1,0.741611,0.107846,0.0583936,0,1.31181
10,30,0.422159,1,0.700996,0.107329,0.0411743,0,1.26937
10,40,0.386947,1,0.649185,0.106803,0.0261738,0,1.21388
10,50,0.34735,1,0.588963,0.106393,0.0193136,0,1.15607
10,60,0.308535,1,0.522806,0.106217,0.0198514,0,1.09993
10,70,0.284665,1,0.453231,0.106365,0.0198908,0,1.0509
10,80,0.268372,1,0.38312,0.10678,0.0159923,0,1.00409
10,90,0.25432,1,0.315574,0.107382,0.0078933,0,0.957673
10,100,0.232507,1,0.253579,0.108015,0,0,0.9095
10,110,0.210737,1,0.200022,0.108412,0,0,0.869818
10,120,0.187519,1,0.157165,0.108372,0,0,0.834442
10,130,0.168006,1,0.125761,0.107766,0,0,0.806791
10,140,0.161899,1,0.105344,0.106655,0,0,0.792473
10,150,0.170574,1,0.09384,0.105299,0,0,0.791384
10,160,0.182197,1,0.0885137,0.104021,0,0,0.795183
10,170,0.19335,1,0.0864976,0.103101,0.00193181,0,0.801562
10,180,0.193156,1,0.0860285,0.102813,0.0151112,0,0.808344
10,190,0.195277,1,0.0863939,0.103214,0.00246817,0,0.803006
10,200,0.183947,1,0.0882675,0.104242,0,0,0.796199
10,210,0.171548,1,0.0936583,0.105613,0,0,0.792003
10,220,0.165161,1,0.105153,0.107067,0,0,0.7945
10,230,0.172338,1,0.125699,0.108227,0,0,0.809543
10,240,0.194132,1,0.157047,0.108875,0,0,0.838553
10,250,0.216786,1,0.200106,0.10894,0,0,0.873701
10,260,0.238986,1,0.253943,0.108563,0,0,0.913789
10,270,0.258384,1,0.316124,0.107924,0.00746841,0,0.96037
10,280,0.270725,1,0.384118,0.107276,0.0158122,0,1.0061
10,290,0.284558,1,0.454452,0.106809,0.0198406,0,1.0516
10,300,0.30802,1,0.524326,0.106641,0.0199709,0,1.10062
10,310,0.346764,1,0.590769,0.106749,0.019577,0,1.15691
10,320,0.38594,1,0.651157,0.1071,0.0267994,0,1.21472
10,330,0.42015,1,0.702858,0.107545,0.0420753,0,1.26968
10,340,0.44309,1,0.743243,0.108011,0.0591889,0,1.31323
10,350,0.449102,1,0.769214,0.108324,0.0722706,0,1.33715
20,0,0.301965,1,0.443546,0.180408,0.00915675,0,1.08015
20,10,0.310599,1,0.445891,0.179414,0,0,1.08107
20,20,0.315508,1,0.450505,0.176838,0,0,1.08529
20,30,0.307595,1,0.446843,0.173469,0.0229418,0,1.08998
20,40,0.292833,1,0.420763,0.170379,0.0263797,0,1.06874
20,50,0.251308,1,0.359244,0.168851,0,0,0.997947
20,60,0.201083,1,0.25522,0.170432,0,0,0.916432
20,70,0.197917,1,0.104876,0.177191,0,0,0.842065
20,80,0.252703,1,0.10621,0.19353,0.0136852,0,0.889665
20,90,0.316784,1,0.488673,0.240573,0.246109,0,1.266
20,100,0.313267,1,0.51389,0.226621,0.248265,0,1.2721
20,110,0.300246,1,0.541493,0.216502,0.240906,0,1.26999
