thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
0,0,0.058961,0.835397,0.345947,0.0920328,0,0,0.746401
10,0,0.332371,0.924006,0.226195,0.0691312,0,0,0.894577
10,10,0.332157,0.922193,0.226228,0.0691363,0,0,0.893378
10,20,0.331214,0.926324,0.226354,0.0691127,0,0,0.895345
10,30,0.33356,0.93101,0.226448,0.0691409,0,0,0.899623
10,40,0.333661,0.932027,0.226474,0.0691368,0,0,0.900305
10,50,0.333778,0.929365,0.226633,0.0691455,0,0,0.89886
10,60,0.33338,0.931447,0.226791,0.0692054,0,0,0.899974
10,70,0.331521,0.92726,0.226989,0.0692207,0,0,0.896452
10,80,0.330803,0.921652,0.227052,0.0692269,0,0,0.89269
10,90,0.331743,0.923218,0.227166,0.0692612,0,0,0.894264
10,100,0.331932,0.922722,0.227176,0.0692422,0,0,0.894078
10,110,0.330894,0.926038,0.227167,0.0692125,0,0,0.895428
10,120,0.332536,0.931317,0.227197,0.0692305,0,0,0.899602
10,130,0.33192,0.930532,0.22719,0.0692499,0,0,0.898766
10,140,0.331639,0.927427,0.227266,0.0692494,0,0,0.896772
10,150,0.331836,0.929154,0.227496,0.0693057,0,0,0.898064
10,160,0.330074,0.924467,0.227506,0.0692816,0,0,0.89419
10,170,0.32999,0.924371,0.227593,0.069297,0,0,0.894132
10,180,0.331318,0.923248,0.227615,0.0693195,0,0,0.894275
10,190,0.330525,0.921549,0.227869,0.0693159,0,0,0.892905
10,200,0.330458,0.924652,0.22779,0.0692786,0,0,0.894672
10,210,0.331285,0.929041,0.227775,0.0693021,0,0,0.897804
10,220,0.332288,0.929381,0.227685,0.0692934,0,0,0.898561
10,230,0.331872,0.930668,0.227481,0.0692668,0,0,0.898971
10,240,0.332466,0.930634,0.227419,0.0692806,0,0,0.899281
10,250,0.330205,0.925381,0.227274,0.0692427,0,0,0.894686
10,260,0.330931,0.922712,0.227119,0.0692499,0,0,0.893445
10,270,0.331661,0.922271,0.226955,0.0692228,0,0,0.893526
10,280,0.330574,0.923393,0.226742,0.0691982,0,0,0.893431
10,290,0.330648,0.924236,0.226517,0.069145,0,0,0.893847
10,300,0.33238,0.929094,0.226376,0.0691404,0,0,0.897728
10,310,0.332836,0.931656,0.226262,0.069148,0,0,0.899485
10,320,0.332612,0.931833,0.226141,0.0691317,0,0,0.89939
10,330,0.333597,0.930637,0.226012,0.0691347,0,0,0.8992
10,340,0.331402,0.925903,0.226191,0.0691399,0,0,0.895134
10,350,0.331764,0.922542,0.226219,0.0691598,0,0,0.893357
