thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
0,0,0.370478,0.98095,0.601141,0.286709,0.111741,0,1.28757
10,0,0.372629,0.899657,0.538393,0.281244,0.0933869,0,1.19643
10,10,0.37334,0.91012,0.538059,0.281112,0.093185,0,1.2028
10,20,0.373654,0.919363,0.538124,0.280734,0.0938519,0,1.20878
10,30,0.374215,0.930269,0.538433,0.280041,0.0957996,0,1.21661
10,40,0.375279,0.941425,0.538917,0.279089,0.0987343,0,1.22542
10,50,0.376846,0.948646,0.540156,0.277912,0.0999125,0,1.23149
10,60,0.378206,0.956642,0.5418,0.276596,0.0981709,0,1.23644
10,70,0.378329,0.968145,0.544264,0.275132,0.0932888,0,1.24138
10,80,0.378313,0.981721,0.547707,0.273565,0.0869897,0,1.24714
10,90,0.37943,0.991225,0.551992,0.271903,0.08114,0,1.25178
10,100,0.37999,0.999583,0.557162,0.270292,0.0749757,0,1.25568
10,110,0.381071,1,0.563225,0.268756,0.0704614,0,1.25651
10,120,0.382067,1,0.569996,0.267229,0.0664831,0,1.2577
10,130,0.383519,1,0.577048,0.265891,0.0616247,0,1.25889
10,140,0.386145,1,0.583676,0.26473,0.0570225,0,1.26078
10,150,0.388799,1,0.589526,0.263783,0.0540047,0,1.26326
10,160,0.391216,1,0.594577,0.263083,0.0528203,0,1.2663
10,170,0.391908,1,0.597845,0.262641,0.0523873,0,1.26794
10,180,0.392158,1,0.5991,0.262485,0.0531778,0,1.26909
10,190,0.390971,1,0.598202,0.26262,0.0523186,0,1.26751
10,200,0.390279,1,0.59539,0.263047,0.0522885,0,1.26584
10,210,0.387915,1,0.590987,0.263692,0.0541234,0,1.26349
10,220,0.385918,1,0.585149,0.264612,0.0566977,0,1.26115
10,230,0.383798,1,0.578856,0.2658,0.0612335,0,1.25971
10,240,0.381557,1,0.572368,0.267103,0.0654938,0,1.25798
10,250,0.379971,1,0.566006,0.268553,0.0694978,0,1.25663
10,260,0.378893,0.995802,0.560171,0.270164,0.0743896,0,1.25388
10,270,0.377589,0.988141,0.555054,0.271788,0.0803536,0,1.24987
10,280,0.377299,0.979041,0.550688,0.273443,0.0866732,0,1.2462
10,290,0.375383,0.964596,0.547401,0.275022,0.0927506,0,1.23871
10,300,0.374568,0.956862,0.544757,0.276486,0.0979237,0,1.23569
10,310,0.373386,0.948321,0.542683,0.27784,0.10005,0,1.23053
10,320,0.372519,0.941683,0.541071,0.279005,0.0985924,0,1.22488
10,330,0.372646,0.93086,0.540081,0.27998,0.0955989,0,1.21672
10,340,0.372551,0.92323,0.539436,0.280699,0.0937241,0,1.21101
10,350,0.372603,0.909961,0.538775,0.281066,0.0932635,0,1.20265
20,0,0.395706,0.925165,0.423125,0.24617,0.0667222,0,1.13925
20,10,0.396636,0.936555,0.422535,0.245936,0.0618982,0,1.1436
20,20,0.396803,0.946571,0.422482,0.245066,0.0590029,0,1.14774
20,30,0.396006,0.950988,0.422145,0.243663,0.0563996,0,1.14775
20,40,0.396403,0.950597,0.421428,0.241769,0.0560013,0,1.14642
20,50,0.396657,0.948948,0.420481,0.239417,0.0545029,0,1.14335
20,60,0.39826,0.963385,0.419997,0.236623,0.0560205,0,1.15245
20,70,0.396685,0.973636,0.420687,0.233585,0.055374,0,1.15643
20,80,0.396037,0.980499,0.423216,0.230268,0.0496894,0,1.15697
20,90,0.396446,0.983956,0.428398,0.226934,0.0414249,0,1.156
20,100,0.397171,0.999169,0.436955,0.223577,0.0337728,0,1.16429
20,110,0.398964,1,0.448902,0.220335,0.0278251,0,1.16727
20,120,0.401949,1,0.463747,0.217322,0.0241563,0,1.17326
20,130,0.405169,1,0.479833,0.214533,0.0232245,0,1.1816
20,140,0.408434,1,0.496555,0.212035,0.023946,0,1.19132
20,150,0.410106,1,0.512009,0.210037,0.0245576,0,1.19959
20,160,0.412837,1,0.525065,0.2086,0.0244152,0,1.2071
20,170,0.415472,1,0.533694,0.20767,0.0257427,0,1.21336
20,180,0.414676,1,0.536546,0.207358,0.0266022,0,1.21465
20,190,0.4147,1,0.533256,0.20756,0.0255028,0,1.2125
20,200,0.414285,1,0.524746,0.208415,0.0246196,0,1.20785
20,210,0.412359,1,0.511759,0.209832,0.0240457,0,1.20045
20,220,0.41002,1,0.496649,0.211736,0.0238499,0,1.19215
20,230,0.405617,1,0.480451,0.214173,0.0230307,0,1.18193
20,240,0.403047,1,0.464924,0.216901,0.023715,0,1.17409
